,0
vast,11
places,11
Two,11
tips,11
People,11
bye,11
beaming,11
likes,11
level,11
cupboard,11
shoulders,11
bought,11
pot,11
bowl,11
cursed,11
miss,11
warm,11
sunlight,11
sharp,11
cross,11
Dad,11
thinks,11
Blimey,11
smoke,11
emerged,11
Divination,11
Herbology,11
including,11
mirror,11
reflected,11
stumbled,11
handing,11
faces,11
starting,11
learned,11
object,11
trees,11
gates,11
classroom,11
choice,11
scales,11
eight,11
children,11
orphanage,11
finding,11
Peakes,11
cabin,11
crying,11
skin,11
gin,11
Snitch,11
mood,10
soft,10
honestly,10
involved,10
behavior,10
kindly,10
dragon,10
gently,10
wear,10
panic,10
dementors,10
foolish,10
despite,10
St,10
Mungo,10
fifty,10
furiously,10
discover,10
positively,10
losing,10
guard,10
letter,10
gray,10
cry,10
wrenched,10
decision,10
distance,10
crack,10
pleasant,10
tray,10
presence,10
amused,10
concealed,10
lately,10
tongue,10
company,10
retrieve,10
carry,10
believed,10
spent,10
weren,10
forever,10
guessed,10
tight,10
advantage,10
unlikely,10
comes,10
swear,10
brilliant,10
ability,10
draw,10
appointment,10
obvious,10
task,10
building,10
Inferius,10
wake,10
scroll,10
packed,10
Petunia,10
gloves,10
oddly,10
Shall,10
knocking,10
Lestrange,10
situation,10
Miss,10
mistress,10
owner,10
Buckbeak,10
expecting,10
cool,10
forehead,10
mark,10
burning,10
interesting,10
bodies,10
stick,10
glittering,10
Charm,10
teachers,10
goes,10
spider,10
disappeared,10
blinked,10
correct,10
pushing,10
knock,10
natural,10
silvery,10
Moaning,10
fix,10
James,10
size,10
convinced,10
rack,10
enthusiastically,10
leaning,10
elbow,10
avoid,10
Fenrir,10
checked,10
seriously,10
dived,10
confidently,10
sun,10
Zacharias,10
Nearly,10
ghost,10
London,10
raise,10
older,10
knowledge,10
echoing,10
Heads,10
classes,10
mumbled,10
shouting,10
smooth,10
bewildered,10
Stan,10
battle,10
Coote,10
row,10
clever,10
music,10
snow,10
hoop,10
Marauder,10
Map,10
midnight,9
country,9
earth,9
sending,9
lack,9
damage,9
unfortunately,9
mist,9
facing,9
bowler,9
Had,9
ugly,9
patted,9
desperate,9
jacket,9
planning,9
offered,9
snarled,9
Excellent,9
fifteen,9
killing,9
momentarily,9
Our,9
center,9
faint,9
bitter,9
writing,9
curtains,9
fought,9
Bella,9
narrow,9
burned,9
footsteps,9
panting,9
heavily,9
strong,9
argue,9
headed,9
poured,9
color,9
fury,9
comfortable,9
admit,9
Phoenix,9
husband,9
replaced,9
clutched,9
protect,9
drained,9
existence,9
folded,9
ensure,9
Longbottom,9
members,9
fully,9
mere,9
possibility,9
cheek,9
assume,9
concerned,9
